subject,stimuli,hrtf_angle,ild
1,Speech,0,0
1,Speech,0,0
1,Speech,0,0
1,Speech,0,0
1,Speech,10,6.5
1,Speech,10,3.5
1,Speech,10,9.5
1,Speech,10,8.5
1,Speech,20,9
1,Speech,20,15.5
1,Speech,20,11
1,Speech,20,11
1,Speech,30,19
1,Speech,30,20
1,Speech,30,10.5
1,Speech,30,14.5
1,Speech,40,37
1,Speech,40,33.5
1,Speech,40,30.5
1,Speech,40,19.5
1,Speech,50,32
1,Speech,50,25
1,Speech,50,23.5
1,Speech,50,50
1,Speech,60,50
1,Speech,60,40.5
1,Speech,60,38.5
1,Speech,60,17.5
1,Speech,70,47
1,Speech,70,43.5
1,Speech,70,26.5
1,Speech,70,34
1,Speech,80,50
1,Speech,80,39.5
1,Speech,80,50
1,Speech,80,38
1,Speech,90,50
1,Speech,90,33.5
1,Speech,90,50
1,Speech,90,36.5
1,Cello,0,0
1,Cello,0,0.5
1,Cello,0,0
1,Cello,0,1.5
1,Cello,10,4.5
1,Cello,10,7.5
1,Cello,10,6.5
1,Cello,10,5.5
1,Cello,20,13
1,Cello,20,11.5
1,Cello,20,10.5
1,Cello,20,6.5
1,Cello,30,13.5
1,Cello,30,19.5
1,Cello,30,11.5
1,Cello,30,20
1,Cello,40,19.5
1,Cello,40,23
1,Cello,40,11
1,Cello,40,28
1,Cello,50,22
1,Cello,50,23
1,Cello,50,29
1,Cello,50,24
1,Cello,60,29
1,Cello,60,27
1,Cello,60,40
1,Cello,60,30
1,Cello,70,47
1,Cello,70,25
1,Cello,70,22
1,Cello,70,33
1,Cello,80,44.5
1,Cello,80,40.5
1,Cello,80,38
1,Cello,80,28.5
1,Cello,90,37.5
1,Cello,90,50
1,Cello,90,50
1,Cello,90,45.5
2,Speech,0,0
2,Speech,0,0
2,Speech,0,0
2,Speech,0,1
2,Speech,10,9
2,Speech,10,5
2,Speech,10,4.5
2,Speech,10,5.5
2,Speech,20,7
2,Speech,20,8
2,Speech,20,7.5
2,Speech,20,9.5
2,Speech,30,11.5
2,Speech,30,15.5
2,Speech,30,9
2,Speech,30,9
2,Speech,40,15.5
2,Speech,40,17
2,Speech,40,14.5
2,Speech,40,22
2,Speech,50,15
2,Speech,50,22.5
2,Speech,50,17
2,Speech,50,20
2,Speech,60,21
2,Speech,60,22
2,Speech,60,21.5
2,Speech,60,20.5
2,Speech,70,22
2,Speech,70,22
2,Speech,70,25
2,Speech,70,24
2,Speech,80,22
2,Speech,80,24.5
2,Speech,80,28
2,Speech,80,20.5
2,Speech,90,19.5
2,Speech,90,26.5
2,Speech,90,24
2,Speech,90,21
2,Cello,0,1
2,Cello,0,1.5
2,Cello,0,1.5
2,Cello,0,1
2,Cello,10,4
2,Cello,10,3.5
2,Cello,10,5
2,Cello,10,1.5
2,Cello,20,9
2,Cello,20,6.5
2,Cello,20,6.5
2,Cello,20,6
2,Cello,30,10.5
2,Cello,30,10.5
2,Cello,30,12
2,Cello,30,10.5
2,Cello,40,11.5
2,Cello,40,15
2,Cello,40,11
2,Cello,40,12
2,Cello,50,16
2,Cello,50,15
2,Cello,50,9
2,Cello,50,15.5
2,Cello,60,22
2,Cello,60,17.5
2,Cello,60,19
2,Cello,60,17.5
2,Cello,70,23.5
2,Cello,70,19.5
2,Cello,70,19.5
2,Cello,70,17.5
2,Cello,80,17.5
2,Cello,80,21
2,Cello,80,22.5
2,Cello,80,21
2,Cello,90,21
2,Cello,90,22
2,Cello,90,18.5
2,Cello,90,18.5
3,Speech,0,0
3,Speech,0,0
3,Speech,0,0
3,Speech,0,0
3,Speech,10,6
3,Speech,10,4.5
3,Speech,10,7
3,Speech,10,7.5
3,Speech,20,14.5
3,Speech,20,11
3,Speech,20,17
3,Speech,20,9.5
3,Speech,30,20
3,Speech,30,14.5
3,Speech,30,18.5
3,Speech,30,15.5
3,Speech,40,20
3,Speech,40,25.5
3,Speech,40,20.5
3,Speech,40,26
3,Speech,50,32.5
3,Speech,50,24
3,Speech,50,22
3,Speech,50,27
3,Speech,60,28
3,Speech,60,26
3,Speech,60,31.5
3,Speech,60,27
3,Speech,70,29
3,Speech,70,32.5
3,Speech,70,37.5
3,Speech,70,26.5
3,Speech,80,34.5
3,Speech,80,31
3,Speech,80,29
3,Speech,80,27
3,Speech,90,34.5
3,Speech,90,35.5
3,Speech,90,31
3,Speech,90,35
3,Cello,0,0
3,Cello,0,0
3,Cello,0,0
3,Cello,0,0
3,Cello,10,6.5
3,Cello,10,7.5
3,Cello,10,5
3,Cello,10,5
3,Cello,20,15.5
3,Cello,20,11
3,Cello,20,12
3,Cello,20,8
3,Cello,30,18
3,Cello,30,24
3,Cello,30,25.5
3,Cello,30,16.5
3,Cello,40,27.5
3,Cello,40,20.5
3,Cello,40,29
3,Cello,40,21.5
3,Cello,50,30.5
3,Cello,50,23
3,Cello,50,26.5
3,Cello,50,34
3,Cello,60,24.5
3,Cello,60,26
3,Cello,60,30
3,Cello,60,33
3,Cello,70,29
3,Cello,70,31
3,Cello,70,34
3,Cello,70,27.5
3,Cello,80,30
3,Cello,80,35
3,Cello,80,39
3,Cello,80,27.5
3,Cello,90,33.5
3,Cello,90,28
3,Cello,90,27
3,Cello,90,34
4,Speech,0,0
4,Speech,0,0
4,Speech,0,0
4,Speech,0,0
4,Speech,10,6
4,Speech,10,6.5
4,Speech,10,5.5
4,Speech,10,8
4,Speech,20,14.5
4,Speech,20,11
4,Speech,20,8.5
4,Speech,20,13.5
4,Speech,30,21
4,Speech,30,16.5
4,Speech,30,12
4,Speech,30,14.5
4,Speech,40,26.5
4,Speech,40,21.5
4,Speech,40,19.5
4,Speech,40,21
4,Speech,50,25.5
4,Speech,50,29
4,Speech,50,24.5
4,Speech,50,25
4,Speech,60,21
4,Speech,60,31
4,Speech,60,25
4,Speech,60,31
4,Speech,70,30.5
4,Speech,70,22.5
4,Speech,70,31
4,Speech,70,25
4,Speech,80,29.5
4,Speech,80,29
4,Speech,80,23
4,Speech,80,23.5
4,Speech,90,27
4,Speech,90,27.5
4,Speech,90,38
4,Speech,90,32
4,Cello,0,0
4,Cello,0,0
4,Cello,0,0
4,Cello,0,0
4,Cello,10,6
4,Cello,10,2.5
4,Cello,10,3.5
4,Cello,10,7.5
4,Cello,20,13.5
4,Cello,20,6
4,Cello,20,6.5
4,Cello,20,10.5
4,Cello,30,10.5
4,Cello,30,13.5
4,Cello,30,14
4,Cello,30,20.5
4,Cello,40,14.5
4,Cello,40,26.5
4,Cello,40,29.5
4,Cello,40,13
4,Cello,50,19
4,Cello,50,35
4,Cello,50,37.5
4,Cello,50,17.5
4,Cello,60,30
4,Cello,60,24
4,Cello,60,21
4,Cello,60,29
4,Cello,70,30.5
4,Cello,70,16
4,Cello,70,19
4,Cello,70,30.5
4,Cello,80,35
4,Cello,80,27
4,Cello,80,22
4,Cello,80,18.5
4,Cello,90,22
4,Cello,90,26.5
4,Cello,90,26
4,Cello,90,35
5,Speech,0,0
5,Speech,0,4.5
5,Speech,0,0
5,Speech,0,0
5,Speech,10,10.5
5,Speech,10,8.5
5,Speech,10,5.5
5,Speech,10,10
5,Speech,20,12
5,Speech,20,12.5
5,Speech,20,12
5,Speech,20,20.5
5,Speech,30,19.5
